Year,Gender,Discipline,Name,Country,Result,Date
2009,women,1500m,Maryam Yusuf JAMAL,BRN,3:56.55,10 JUL 2009
2009,women,5000m,Meseret DEFAR,ETH,14:24.37,18 FEB 2009
2009,women,10000m,Meselech MELKAMU,ETH,29:53.80,14 JUN 2009
2010,men,800m,David RUDISHA,KEN,1:41.01,29 AUG 2010
2010,men,1500m,Silas KIPLAGAT,KEN,3:29.27,22 JUL 2010
2010,men,5000m,Eliud KIPCHOGE,KEN,12:51.21,14 MAY 2010
2010,men,10000m,Josphat Kiprono MENJO,KEN,26:56.74,29 AUG 2010
2010,women,800m,Alysia MONTAÑO,USA,1:57.34,22 JUL 2010
2010,women,1500m,Maryam Yusuf JAMAL,BRN,3:58.93,29 AUG 2010
2010,women,5000m,Meseret DEFAR,ETH,14:24.79,10 FEB 2010
2010,women,10000m,Meselech MELKAMU,ETH,31:04.52,27 MAY 2010
2011,men,800m,David RUDISHA,KEN,1:41.33,10 SEP 2011
2011,men,1500m,Asbel KIPROP,KEN,3:30.46,10 SEP 2011
2011,men,5000m,Mo FARAH,GBR,12:53.11,22 JUL 2011
2011,men,10000m,Kenenisa BEKELE,ETH,26:43.16,16 SEP 2011
2011,women,800m,Caster SEMENYA,RSA,1:56.35,04 SEP 2011
2011,women,1500m,Morgan UCENY,USA,4:00.06,16 SEP 2011
2011,women,5000m,Vivian Jepkemei CHERUIYOT,KEN,14:20.87,29 JUL 2011
2011,women,10000m,Sally KIPYEGO,KEN,30:38.35,01 MAY 2011
2012,men,800m,David RUDISHA,KEN,1:40.91,09 AUG 2012
2012,men,1500m,Asbel KIPROP,KEN,3:28.88,20 JUL 2012
2012,men,5000m,Dejen GEBREMESKEL,ETH,12:46.81,06 JUL 2012
2012,men,10000m,Emmanuel Kipkemei BETT,KEN,26:51.16,07 SEP 2012
2012,women,800m,Francine NIYONSABA,BDI,1:56.59,07 SEP 2012
2012,women,1500m,Abeba AREGAWI,ETH,3:56.54,31 MAY 2012
2012,women,5000m,Vivian Jepkemei CHERUIYOT,KEN,14:35.62,31 MAY 2012
2012,women,10000m,Tirunesh DIBABA,ETH,30:20.75,03 AUG 2012
2013,men,800m,Mohammed AMAN,ETH,1:42.37,06 SEP 2013
